Client,Date,Change,Cumulative
1210 Barton Springs Road Venture,2015-04-01,1,1
1210 Barton Springs Road Venture,2016-03-31,-1,0
16 Piggybank,2015-01-12,3,3
16 Piggybank,2016-01-12,-3,0
1715 G,2015-04-24,1,1
183 BLW,2013-12-20,1,1
183 BLW,2014-01-07,2,3
183 BLW,2014-12-20,-1,2
183 BLW,2015-01-07,-2,0
183 BLW,2015-01-20,1,1
183 BLW,2016-01-07,2,3
183 BLW,2016-01-20,-1,2
2208 Lake Austin,2014-06-27,1,1
2208 Lake Austin,2014-07-09,1,2
2208 Lake Austin,2015-04-24,1,3
2208 Lake Austin,2015-07-09,-1,2
3 Point Partners,2013-10-08,1,1
3 Point Partners,2014-10-08,-1,0
405 Colorado Holdings,2015-01-12,1,1
405 Colorado Holdings,2016-01-16,1,2
408 Sterzing,2014-04-25,2,2
408 Sterzing,2014-06-27,1,3
408 Sterzing,2015-04-25,-2,1
408 Sterzing,2015-06-27,-1,0
4800 Friedrich Lane,2014-01-07,2,2
4800 Friedrich Lane,2014-12-23,1,3
4800 Friedrich Lane,2015-01-06,1,4
4800 Friedrich Lane,2015-01-07,-1,3
4800 Friedrich Lane,2016-01-06,-2,1
4800 Friedrich Lane,2016-01-07,1,2
5453 Burnet Park Venture,2015-01-13,2,2
5453 Burnet Park Venture,2016-01-13,-2,0
620/183,2013-02-14,1,1
620/183,2014-02-14,-1,0
6ixth Street Austin,2013-10-28,1,1
6ixth Street Austin,2014-10-09,1,2
6ixth Street Austin,2015-10-09,-2,0
735 Henna,2015-10-15,1,1
735 Henna,2016-01-16,1,2
93 Red River Investors,2014-10-09,1,1
93 Red River Investors,2015-11-07,1,2
A Stella Dog,2015-10-15,1,1
A and M Option 541,2013-09-05,1,1
A and M Option 541,2015-07-21,1,2
A and M Option 541,2015-09-04,-1,1
A.J. Messer Construction Co.,2014-08-20,3,3
A.J. Messer Construction Co.,2015-08-20,-3,0
AETNA Sign Group,2015-10-15,1,1
AFSCME 1624,2011-10-21,2,2
AFSCME 1624,2012-10-20,-2,0
AJHSCCM,2014-08-01,1,1
AJHSCCM,2015-08-01,-1,0
AMD,2013-10-08,1,1
AMD,2014-10-16,1,2
AMD,2015-10-16,-2,0
APAC- Tecas,2013-09-05,1,1
APAC- Tecas,2014-09-05,-1,0
ARG Bull Creek,2015-08-01,2,2
AT&T,2013-06-18,1,1
AT&T,2013-08-06,4,5
AT&T,2013-08-07,1,6
AT&T,2013-10-07,1,7
AT&T,2013-10-08,1,8
AT&T,2014-08-06,-4,4
AT&T,2014-08-20,5,9
AT&T,2014-10-16,1,10
AT&T,2015-06-09,-1,9
AT&T,2015-08-20,-6,3
AT&T,2015-10-15,-1,2
AT&T,2015-10-16,-2,0
AT&T,2016-03-04,1,1
AT&T,2016-04-01,1,2
ATC Outdoor DAS,2014-04-29,2,2
ATC Outdoor DAS,2015-04-29,-2,0
AVG Partners,2014-08-01,1,1
AXF Development,2014-04-25,1,1
AXF Development,2015-04-24,1,2
AXF Development,2015-06-27,2,4
Accelerator Holdings,2013-12-20,1,1
Accelerator Holdings,2014-01-07,1,2
Accelerator Holdings,2014-12-23,1,3
Accelerator Holdings,2015-01-06,2,5
Accelerator Holdings,2015-01-07,-1,4
Accelerator Holdings,2015-12-23,-2,2
Accelerator Holdings,2016-01-06,-2,0
Aetna Sign Group,2014-10-09,1,1
Aetna Sign Group,2015-01-12,1,2
Aetna Sign Group,2015-10-09,-1,1
Aetna Sign Group,2015-11-07,2,3
Aetna Sign Group,2016-01-12,-1,2
"Aguirre, Antolin",2011-08-17,2,2
"Aguirre, Antolin",2012-08-16,-2,0
Airbnb,2016-02-27,1,1
Airport Fast Park,2015-01-30,1,1
Airport Fast Park,2016-01-30,-1,0
Alexa Management,2014-07-09,1,1
Alexa Management,2015-01-12,2,3
Alexa Management,2015-07-09,-1,2
Alexa Management,2016-01-09,1,3
Alexa Management,2016-01-12,-2,1
Allegiant Air,2015-08-19,2,2
Alliance Residential,2014-01-03,2,2
Alliance Residential,2015-01-03,-1,1
Alliance Residential,2015-01-13,2,3
Alliance Residential,2016-01-05,2,5
Alliance Residential,2016-01-13,-2,3
Alliance Residential,2016-02-02,-1,2
American Campus Communities,2014-10-09,2,2
American Campus Communities,2015-10-09,-2,0
American Heart Association,2012-03-23,2,2
American Heart Association,2013-03-23,-2,0
American Heart Association,2014-10-14,2,2
American Heart Association,2015-07-29,2,4
American Heart Association,2015-10-14,-2,2
Amplify Federal Credit Union,2014-10-09,1,1
Amplify Federal Credit Union,2015-01-12,1,2
Amplify Federal Credit Union,2015-11-07,1,3
Amstar Group,2013-12-20,1,1
Amstar Group,2014-01-07,1,2
Amstar Group,2014-12-20,-1,1
Amstar Group,2015-01-07,-1,0
Amstar Group,2015-12-24,2,2
Anthony George,2015-06-27,1,1
Antolin Aguirre,2011-08-17,2,2
Antolin Aguirre,2012-08-16,-2,0
Antolin Aguirre,2014-04-25,2,2
Antolin Aguirre,2014-06-27,1,3
Antolin Aguirre,2015-04-25,-2,1
Antolin Aguirre,2015-06-27,-1,0
Apex Bethel Energy Center,2015-10-23,2,2
"Archer, Cara Jean",2015-03-24,2,2
"Archer, Cara Jean",2016-03-23,-2,0
Ardent Residential,2015-01-30,1,1
Ardent Residential,2015-02-02,1,2
Ardent Residential,2016-01-05,1,3
Ardent Residential,2016-02-02,-1,2
Art at Bratton's Edge,2014-08-01,1,1
Artesia Real Estate,2014-07-09,1,1
Artesia Real Estate,2015-01-12,2,3
Artesia Real Estate,2015-07-09,-1,2
Artesia Real Estate,2016-01-12,-2,0
Ashton Woods Homes,2014-01-03,2,2
Ashton Woods Homes,2015-01-03,-2,0
Asian American Cultural Arts Center,2015-01-12,1,1
Asian American Cultural Arts Center,2016-01-12,-1,0
Aspen Heights,2014-01-09,1,1
Aspen Heights,2014-12-21,1,2
Aspen Heights,2014-12-23,1,3
Aspen Heights,2015-01-09,-1,2
Aspen Heights,2015-07-21,1,3
Aspen Heights,2015-12-21,-1,2
Aspen Heights,2015-12-23,-1,1
Aspen Heights,2016-03-14,1,2
Aspen Properties,2014-01-07,1,1
Aspen Properties,2014-12-23,1,2
Aspen Properties,2015-01-06,1,3
Aspen Properties,2015-12-23,-1,2
Aspen Properties,2016-01-07,2,4
Atlantic Housing Foundation,2014-06-27,1,1
Atlantic Housing Foundation,2015-06-27,1,2
Austin Achieve,2013-12-20,1,1
Austin Achieve,2014-01-07,1,2
Austin Achieve,2014-01-16,1,3
Austin Achieve,2014-12-23,1,4
Austin Achieve,2015-01-06,1,5
Austin Achieve,2015-01-07,-1,4
Austin Achieve,2015-01-16,-1,3
Austin Achieve,2015-12-23,-2,1
Austin Achieve,2016-01-07,3,4
Austin Achieve,2016-01-20,2,6
"Austin American-Statesman,",2014-01-03,2,2
"Austin American-Statesman,",2015-01-03,-2,0
"Austin American-Statesman,",2015-02-02,1,1
"Austin American-Statesman,",2016-02-02,-1,0
Austin Apartment Association,2014-07-18,1,1
Austin Apartment Association,2014-09-04,1,2
Austin Apartment Association,2015-07-18,-1,1
Austin Apartment Association,2015-09-04,-1,0
Austin Aquatics and Sports Academy,2013-10-01,1,1
Austin Aquatics and Sports Academy,2014-10-01,-1,0
Austin Baptist Church,2013-12-20,1,1
Austin Baptist Church,2014-01-07,1,2
Austin Baptist Church,2014-12-23,1,3
Austin Baptist Church,2015-01-07,-1,2
Austin Baptist Church,2015-12-23,-2,0
Austin Board of Realtors,2014-01-07,1,1
Austin Board of Realtors,2014-06-27,1,2
Austin Board of Realtors,2015-01-06,2,4
Austin Board of Realtors,2015-01-07,-1,3
Austin Board of Realtors,2015-04-24,2,5
Austin Board of Realtors,2015-06-27,1,6
Austin Board of Realtors,2015-12-24,2,8
Austin Board of Realtors,2016-01-06,-2,6
Austin Christian Fellowship,2015-09-12,2,2
Austin Chronicle,2014-01-03,3,3
Austin Chronicle,2015-01-03,-2,1
Austin Chronicle,2015-02-02,1,2
Austin Chronicle,2016-02-02,-1,1
Austin City Builders,2014-10-09,1,1
Austin City Builders,2015-01-12,1,2
Austin City Builders,2015-10-09,-1,1
Austin City Builders,2015-11-07,2,3
Austin City Builders,2016-01-16,1,4
Austin Convention Enterprises,2015-06-27,1,1
Austin Diagnostic Clinic,2014-01-09,3,3
Austin Diagnostic Clinic,2014-07-09,1,4
Austin Diagnostic Clinic,2015-01-09,-3,1
Austin Diagnostic Clinic,2015-07-09,-1,0
Austin Elm Terrace LP,2014-04-25,1,1
Austin Elm Terrace LP,2015-04-25,1,2
Austin Fairchild Management,2013-10-28,1,1
Austin Fairchild Management,2014-10-28,-1,0
Austin Film Studios,2015-01-29,2,2
Austin Film Studios,2016-01-29,-2,0
Austin Flower Co.,2011-08-17,2,2
Austin Flower Co.,2012-08-16,-2,0
Austin Lakeside Hotel Owner,2015-10-15,1,1
Austin Park,2015-01-06,2,2
Austin Park,2015-01-12,1,3
Austin Park,2015-12-24,1,4
Austin Park,2016-01-12,-1,3
Austin Presbetyrian Theological Seminary,2013-07-18,1,1
Austin Presbetyrian Theological Seminary,2013-09-05,1,2
Austin Presbetyrian Theological Seminary,2014-07-18,-1,1
Austin Presbetyrian Theological Seminary,2014-09-05,-1,0
Austin Quality Schools Collaborative,2013-12-20,1,1
Austin Quality Schools Collaborative,2014-12-20,-1,0
Austin Quality Schools Collaborative,2015-01-20,2,2
Austin Quality Schools Collaborative,2016-01-07,2,4
Austin Quality Schools Collaborative,2016-01-20,-2,2
Austin Renaissance,2014-04-25,2,2
Austin Renaissance,2015-04-25,-2,0
Austin Renaissance,2015-06-27,1,1
Austin Restaurant Association,2014-01-07,1,1
Austin Restaurant Association,2014-12-23,1,2
Austin Restaurant Association,2015-01-07,-1,1
Austin Restaurant Association,2015-12-24,1,2
Austin Restaurant Association,2016-01-07,4,6
Austin Sonic,2016-02-04,1,1
AustinSeventyOne,2013-10-01,1,1
AustinSeventyOne,2014-10-01,-1,0
AutoReturn,2013-12-20,1,1
AutoReturn,2014-01-07,1,2
AutoReturn,2014-12-20,-1,1
AutoReturn,2015-01-06,1,2
AutoReturn,2015-12-24,1,3
AutoReturn,2016-01-06,-2,1
AvalonPark Texas,2013-12-20,1,1
AvalonPark Texas,2014-01-07,1,2
AvalonPark Texas,2014-12-23,1,3
AvalonPark Texas,2015-01-06,2,5
AvalonPark Texas,2015-01-07,-1,4
AvalonPark Texas,2015-12-23,-2,2
AvalonPark Texas,2016-01-06,-2,0
AvalonPark Texas,2016-01-07,2,2
Avion Park,2015-09-12,2,2
"Ayers, Robert A.",2015-02-02,1,1
"Ayers, Robert A.",2016-01-13,2,3
"Ayers, Robert A.",2016-02-02,-1,2
BDB Ventures,2015-07-15,1,1
BDB Ventures,2016-03-14,1,2
Balcones Club Management,2015-09-12,1,1
Balcones Country Club Membership Association,2013-09-05,1,1
Balcones Country Club Membership Association,2014-09-05,-1,0
Balcones Resources,2014-10-15,3,3
Balcones Resources,2015-04-25,2,5
Balcones Resources,2015-10-10,1,6
Balcones Resources,2015-10-15,-3,3
Balcones Resources,2015-10-23,1,4
"Barlin, Peter",2014-08-20,1,1
"Barlin, Peter",2015-08-20,-1,0
Barshop and Oles Company,2014-01-16,1,1
Barshop and Oles Company,2015-01-16,-1,0
Barshop and Oles Company,2016-01-20,2,2
Benchmark Development/Goodnight Ranch,2015-09-01,2,2
Beneplace,2014-06-09,1,1
Beneplace,2015-06-09,-1,0
Berns Commercial Properties,2014-04-25,1,1
Berns Commercial Properties,2015-04-24,1,2
Blenheim,2013-12-20,1,1
Blenheim,2014-01-07,1,2
Blenheim,2014-12-23,1,3
Blenheim,2015-01-06,1,4
Blenheim,2015-12-23,-2,2
Blenheim,2016-01-06,-1,1
BlueWater Systems,2016-02-23,1,1
Boat Town Clayton Raven,2014-08-20,3,3
Boat Town Clayton Raven,2015-08-20,-3,0
Bob Gregory,2013-12-20,1,1
Bob Gregory,2014-01-07,1,2
Bob Gregory,2015-01-06,1,3
Bob Gregory,2015-12-23,-1,2
Bob Gregory,2016-01-06,-2,0
Bob and Michael Herd,2013-07-16,1,1
Bob and Michael Herd,2014-07-16,-1,0
Boot Man,2014-02-03,1,1
Boot Man,2015-02-03,-1,0
Bouldin Creek Neighborhood Association,2014-06-27,1,1
Bouldin Creek Neighborhood Association,2015-04-24,1,2
Bouldin Creek Neighborhood Association,2015-06-27,-1,1
Boys and Girls Club,2016-01-09,2,2
Brady Ohman,2013-09-05,1,1
Brady Ohman,2015-09-04,-1,0
Braker Valley,2013-09-05,1,1
Braker Valley,2015-09-04,-1,0
Brandywine Realty Trust,2015-11-07,2,2
Brandywine Realty Trust,2016-01-16,2,4
Bread and Circus,2013-01-03,4,4
Bread and Circus,2014-01-03,-4,0
Bread and Circus,2015-02-02,1,1
Bread and Circus,2016-02-02,-1,0
Brian Follett,2014-10-21,2,2
Brian Follett,2015-10-21,-2,0
Brock Consulting Group,2014-01-07,1,1
Brock Consulting Group,2015-01-07,-1,0
Brock Consulting Group,2016-01-07,2,2
Buffalo Equities,2014-09-04,1,1
Buffalo Equities,2015-09-04,-1,0
"Bullard, Michael",2015-06-27,1,1
Bunkhouse Management,2014-06-27,1,1
Bunkhouse Management,2015-06-27,-1,0
Butler Family Interests,2015-01-12,2,2
Butler Family Interests,2016-01-12,-2,0
Butler Family Partnership,2013-10-01,1,1
Butler Family Partnership,2014-10-01,-1,0
Butler Family Partnership,2015-01-12,2,2
Butler Family Partnership,2016-01-12,-2,0
Butler Park Pitch and Putt,2013-10-07,1,1
Butler Park Pitch and Putt,2014-10-07,-1,0
"Bynum, Joseph and Jayme",2015-07-21,2,2
CBL and Associates Management,2013-07-18,1,1
CBL and Associates Management,2014-07-18,-1,0
CCARE,2014-10-16,1,1
CCARE,2015-10-23,1,2
CMST Development,2015-06-27,2,2
CP II Wild Basin,2015-12-24,1,1
CP II Wild Basin,2016-01-07,1,2
CPS Human Resource Services,2015-06-13,2,2
CRV Shoreline,2013-12-20,1,1
CRV Shoreline,2014-01-07,1,2
CRV Shoreline,2014-12-23,1,3
CRV Shoreline,2015-01-07,-1,2
CRV Shoreline,2015-12-23,-1,1
CRV Shoreline,2016-01-07,1,2
CST Brands,2013-12-20,1,1
CST Brands,2014-01-07,1,2
CST Brands,2014-12-20,-1,1
CST Brands,2015-01-06,1,2
CST Brands,2016-01-06,-2,0
CST Brands,2016-01-07,2,2
CWS Capital Partners,2014-01-07,1,1
CWS Capital Partners,2014-01-09,1,2
CWS Capital Partners,2015-01-07,-1,1
CWS Capital Partners,2015-01-09,-1,0
CWS Capital Partners,2015-12-24,2,2
CWS Capital Partners,2016-01-07,2,4
Caledonia Properties,2015-11-07,2,2
Cameron and Killingsworth- Pflugerville 292,2013-10-01,1,1
Cameron and Killingsworth- Pflugerville 292,2014-10-01,-1,0
Canchola and Hyde Productions,2014-08-01,1,1
Capital Commercial Investments,2014-01-07,1,1
Capital Commercial Investments,2015-01-06,2,3
Capital Commercial Investments,2015-12-24,2,5
Capital Commercial Investments,2016-01-06,-2,3
Capital Commercial Investments,2016-01-07,1,4
Capital Metro,2014-10-09,1,1
Capital Metro,2015-01-12,1,2
Capital Metro,2016-01-12,-1,1
Capitol City Partners,2014-12-23,2,2
Capitol City Partners,2015-01-06,2,4
Capitol City Partners,2015-12-23,-2,2
Capitol City Partners,2016-01-06,-2,0
Capridge Partners,2014-01-07,2,2
Capridge Partners,2015-01-06,1,3
Capridge Partners,2015-01-07,-1,2
Capridge Partners,2015-12-24,1,3
Capridge Partners,2016-01-06,-2,1
Carma Texas,2013-12-20,1,1
Carma Texas,2014-01-07,2,3
Carma Texas,2014-12-23,1,4
Carma Texas,2015-01-07,-2,2
Carma Texas,2015-12-23,-2,0
Carma Texas,2016-01-07,1,1
Carollo Engineers,2014-06-27,1,1
Carollo Engineers,2015-06-27,1,2
Cary and Cynthia Reynolds,2015-06-27,2,2
Castle Hill Management,2014-08-01,1,1
Catalyst Acquisitions and Development Grp,2014-07-09,1,1
Catalyst Acquisitions and Development Grp,2015-01-12,1,2
Catalyst Acquisitions and Development Grp,2015-07-09,-1,1
Catalyst Acquisitions and Development Grp,2016-01-12,-1,0
"Catanoia, Ginny",2014-10-21,2,2
"Catanoia, Ginny",2015-10-21,-2,0
Catellus Commercial Group,2012-01-06,3,3
Catellus Commercial Group,2013-01-05,-3,0
Cathedral of Junk,2011-08-17,4,4
Cathedral of Junk,2012-08-16,-4,0
"Cedar Park, TX",2014-10-16,2,2
"Cedar Park, TX",2015-10-16,-2,0
"Champion, Josie, Juanita Meier and Mary Margaret Roberson",2013-01-03,3,3
"Champion, Josie, Juanita Meier and Mary Margaret Roberson",2014-01-03,-3,0
"Champion, Josie, Juanita Meier and Mary Margaret Roberson",2016-01-05,1,1
Charles Dorrance,2016-01-07,2,2
Charmeleon Group,2014-06-27,1,1
Charmeleon Group,2015-06-27,-1,0
Chereen Fisher,2014-04-25,1,1
Chereen Fisher,2014-06-27,1,2
Chereen Fisher,2015-04-24,1,3
Chereen Fisher,2015-06-27,-1,2
Chris Pacitti,2015-01-06,1,1
Chris Pacitti,2016-01-06,-1,0
Christopher Slover,2015-12-24,1,1
Churchill Forge,2013-01-03,4,4
Churchill Forge,2014-01-03,-4,0
Cielo Property Group,2016-01-09,1,1
Circle C Homeowners Association,2014-07-09,2,2
Circle C Homeowners Association,2015-07-09,-2,0
Circuit of the Americas,2014-01-07,1,1
Circuit of the Americas,2014-06-27,1,2
Circuit of the Americas,2014-10-16,2,4
Circuit of the Americas,2015-01-06,2,6
Circuit of the Americas,2015-01-07,-1,5
Circuit of the Americas,2015-06-27,-1,4
Circuit of the Americas,2015-10-16,-2,2
Circuit of the Americas,2015-12-24,1,3
Circuit of the Americas,2016-01-06,-1,2
Circuit of the Americas,2016-01-07,1,3
Circular Energy,2015-07-15,1,1
"Cirrus Logic, Inc.",2013-02-14,1,1
"Cirrus Logic, Inc.",2015-08-01,-1,0
"Cirrus Logic, Inc.",2015-10-23,1,1
"Cirrus Logic, Inc.",2015-12-24,1,2
Cisco Systems,2014-06-09,1,1
Cisco Systems,2015-06-09,-1,0
Clear Channel,2015-04-25,2,2
"Coats, Rose, Yale, Ryman and Lee",2013-09-05,1,1
"Coats, Rose, Yale, Ryman and Lee",2014-07-18,1,2
"Coats, Rose, Yale, Ryman and Lee",2015-07-18,-1,1
"Coats, Rose, Yale, Ryman and Lee",2015-09-04,-1,0
"Cockrum, Brigid",2015-04-25,2,2
Colina West Real Estate,2015-01-06,2,2
Colina West Real Estate,2016-01-06,-2,0
Colina West Real Estate,2016-01-07,2,2
Concordia University,2013-12-20,1,1
Concordia University,2014-01-07,1,2
Concordia University,2014-12-23,1,3
Concordia University,2015-01-06,1,4
Concordia University,2015-12-23,-2,2
Concordia University,2016-01-06,-2,0
Condominiums at Tuscany Oaks,2015-01-12,1,1
Condominiums at Tuscany Oaks,2015-09-01,1,2
Condominiums at Tuscany Oaks,2016-01-12,-1,1
Conley Sports,2014-04-24,1,1
Conley Sports,2015-04-25,1,2
Connecticut General Life Insurance Company,2011-11-18,3,3
Connecticut General Life Insurance Company,2012-11-17,-3,0
Constructive Ventures,2014-01-03,2,2
Constructive Ventures,2015-02-02,1,3
Constructive Ventures,2016-02-02,-3,0
Continental Cars,2014-06-27,1,1
Continental Cars,2015-06-27,-1,0
"Coover, David M. Jr.",2013-01-03,2,2
"Coover, David M. Jr.",2014-01-03,0,2
"Coover, David M. Jr.",2015-01-03,-2,0
Coppell Building,2015-10-15,2,2
Coppell Building,2015-11-07,2,4
Coppell Building,2016-01-16,2,6
Cornerbrook Development,2012-10-19,3,3
Cornerbrook Development,2013-10-19,-3,0
Cornerstone Patriot Holdings,2016-01-13,4,4
Cottonwood Holdings,2013-01-03,3,3
Cottonwood Holdings,2014-01-03,-3,0
County Line,2014-10-02,1,1
