Date,Client,Cumulative
2014-01-07,Magellan Development Group,3
2014-01-07,Magnolia Montessori for all,3
2014-01-07,Majestic Realty,2
2014-01-07,Makar Properties,3
2014-01-07,"McCullough, Todd",3
2014-01-07,Meredith Family Revocable Trust,3
2014-01-07,"Nelson, Brad",3
2014-01-07,North Austin MUD No. 1,5
2014-01-07,Onion Associates,3
2014-01-07,Orangestone Bluegrass,3
2014-01-07,P&S Investments I,3
2014-01-07,Qualico,3
2014-01-07,REIT Management,3
2014-01-07,REIT Management and Research,3
2014-01-07,Radisson Hotel,3
2014-01-07,Randy Wilson,3
2014-01-07,"Rice, Robert",3
2014-01-07,Riddell Family,3
2014-01-07,Riverside Resources,4
2014-01-07,Robert Schmidt,3
2014-01-07,Robinson Ranch,3
2014-01-07,Ryan Street and Associates,3
2014-01-07,Safeway,3
2014-01-07,Scott Sayers,3
2014-01-07,Seton Healthcare,4
2014-01-07,"Shapiro, Bobby and Jim",3
2014-01-07,Speakeasy,3
2014-01-07,Speedy Stop,3
2014-01-07,St. Andrew's Episcopal School,3
2014-01-07,Stream Realty,3
2014-01-07,Stubb's Austin Restaurant Company,3
2014-01-07,T. Stacy and Associates,3
2014-01-07,TR Vista Preserve,3
2014-01-07,Tanglewood Forest Limited District,3
2014-01-07,Taylor Morrison of Texas,4
2014-01-07,The Brohn Group,5
2014-01-07,The Charter School Fund,3
2014-01-07,The Dovetail Companies,3
2014-01-07,The Gottesman Company,3
2014-01-07,The Kucera Companies,3
2014-01-07,The NRP Group,3
2014-01-07,The University of Texas System,3
2014-01-07,Tierra Concepts,3
2014-01-07,Trudy's Texas Star,3
2014-01-07,Urban Outfitters,3
2014-01-07,Vivo Hospitality,3
2014-01-07,W and G Partnership,3
2014-01-07,Walton International Group,3
2014-01-07,Walton Stacy Partners,12
2014-01-07,Westbank Community Library District,3
2014-01-07,White Lodging Services,3
2014-01-07,"Wilkerson, Eric",3
2014-01-07,"Wilkinson, Julia Matthews",3
2014-01-08,183 BLW,4
2014-01-08,EMSO Partners Limited,1
2014-01-08,Google,4
2014-01-08,Meritage Homes of Texas,1
2014-01-08,Texas Disposal Systems,2
2014-01-08,Walton International Group,4
2014-01-09,Arnold Oil,2
2014-01-09,Aspen Heights,1
2014-01-09,Austin Diagnostic Clinic,4
2014-01-09,Austin Fairchild Management,2
2014-01-09,Butler Family Partnership,2
2014-01-09,CWS,3
2014-01-09,Cardinal Paragon,1
2014-01-09,Cousins Properties,3
2014-01-09,Dean and Andrea McWilliams,1
2014-01-09,EMSO Partners Limited,2
2014-01-09,Eureka Holdings,1
2014-01-09,Google,5
2014-01-09,Grayco Partners,2
2014-01-09,H-E-B,5
2014-01-09,Hixon Properties,3
2014-01-09,Manchester Financial Group,3
2014-01-09,Mobile Loaves and Fishes,1
2014-01-09,Post Paggi,7
2014-01-09,ROI Entertainment,1
2014-01-09,Republic Services of Austin,1
2014-01-09,Rip Miller,1
2014-01-09,Simmons Vedder Partners,2
2014-01-09,Simon Property Group,3
2014-01-09,Songhai Ventures,1
2014-01-09,Spear Street Capital,1
2014-01-09,Starwood Capital Group,1
2014-01-09,Stratus Properties,3
2014-01-09,TCMUD #4,1
2014-01-09,Transwestern Commercial,2
2014-01-09,Trinsic Residential Group,2
2014-01-09,Vista Property Company,1
2014-01-09,Walters Southwest,3
2014-01-13,Catellus Commercial Group,1
2014-01-13,Cogent Info Tech,4
2014-01-13,Delaware North Companies/Travel Hospitality Services,1
2014-01-13,"General Aviation Avenue, LLc",1
2014-01-13,Kayne Capital,1
2014-01-13,Raptor Air,1
2014-01-13,Scott Airport Property,1
2014-01-16,Austin Achieve,4
2014-01-16,Austin Quality Schools Collaborative,4
2014-01-16,Barshop and Oles Company,1
2014-01-16,Cypress Realty,15
2014-01-16,David and Suzanne Booth,4
2014-01-16,Dwyer Realty Companies,4
2014-01-16,Forestar Real Estate Group,4
2014-01-16,Lennar Homes,1
2014-01-16,Magnolia Montessori for all,4
2014-01-16,REIT Management and Research,4
2014-01-16,Radisson Hotel,4
2014-01-16,Robinson Ranch,4
2014-01-16,Seton Healthcare,5
2014-01-16,Simon Property Group,4
2014-01-16,Southern Company,1
2014-01-16,TRT Holdings,1
2014-01-16,Texas 1836 -- EB5,1
2014-01-16,Titan Capital Investment Group,1
2014-01-31,Real Estate Council of Austin,8
2014-02-03,Austin Film Studios,1
2014-02-03,Boot Man,1
2014-02-03,BusGuard,1
2014-02-03,PEC Pedernales Electric Cooperative,1
2014-02-03,Republic Services,1
2014-02-03,Southwest Strategies Group,1
2014-02-03,Stratus Properties,4
2014-02-03,Winstead,1
2014-02-12,El Rey Network,4
2014-02-19,Pyramis Global Advisors Holdings,4
2014-03-10,Denison Development,3
2014-03-10,Pohl Partners,3
2014-03-10,UMLAUF Sculpture Gardens and Museum,3
2014-03-13,Austin Country Club,2
2014-03-13,Austin Green Cab,2
2014-03-13,Brent and Jennifer Cardwell,2
2014-03-13,Energy AP,2
2014-03-13,Ranger Excavating,2
2014-03-13,Trinity Insurance Group,1
2014-03-31,1210 Barton Springs Road Venture,1
2014-03-31,Bennet Partners,1
2014-03-31,CBAL Whitecrowe,2
2014-03-31,Colina West Real Estate,2
2014-03-31,Colonnetta Family,2
2014-03-31,Congress Avenue Baptist Church,2
2014-03-31,Covered Bridge,2
2014-03-31,Covered Bridge Assisted Living,2
2014-03-31,Dalton Mueller,1
2014-03-31,David Honeycutt,2
2014-03-31,GST Hermanas Land and Cattle,2
2014-03-31,Greif Yount Partnership,1
2014-03-31,Harmony Cottages,2
2014-03-31,Horse Thief Hollow,2
2014-03-31,Houston 6000 Bissonnet,1
2014-03-31,JEAE Family Ltd. Partnership,1
2014-03-31,Jeff Blatt,2
2014-03-31,Jett Abraham,1
2014-03-31,Jose and Gloria Perez,1
2014-03-31,Kucera Management/Ted Mecklin,2
2014-03-31,MB 26 Properties,2
2014-03-31,Marval Property Investments,1
2014-03-31,Met Center,20
2014-03-31,Milestone Community Builders,4
2014-03-31,Mustaquali Momin/Thaxton Properties,1
2014-03-31,NB 26 Properties,1
2014-03-31,North I-35 Business Park,2
2014-03-31,PPF AMLI covered Bridge Drive,2
2014-03-31,PRJ Development,1
2014-03-31,Quest Tower View,2
2014-03-31,Rick Sheldon Real Estate,2
2014-03-31,Riverside Homes/Scott Turner,2
2014-03-31,SFSV Hill,1
2014-03-31,Sheahan Business Center,1
2014-03-31,Tan Min Ho,1
2014-03-31,Tomlinson's Feed and Pets,2
2014-03-31,Twin Liquors,4
2014-03-31,Vegas Properties I,2
2014-03-31,Vijay Patel,2
2014-03-31,Wagwater Partners,2
2014-03-31,Zydeco Development,8
2014-04-21,Redflex Guardian,4
2014-04-21,Redflex Traffic Systems,4
2014-04-24,Austin Apartment Association,4
2014-04-24,Buie and Co.,2
2014-04-24,City of Dripping Springs,2
2014-04-24,Conley Sports,2
2014-04-24,Friends of Lake Austin,2
2014-04-24,HDR,3
2014-04-24,InSinkErator,3
2014-04-24,Lyft,2
2014-04-24,Perry Estates,5
2014-04-24,RedLeaf Properties,3
2014-04-24,Ryan Companies,2
2014-04-24,SELTEX,2
2014-04-24,Thinkery,2
2014-04-24,Trail Foundation,2
2014-04-25,2208 Lake Austin,1
2014-04-25,408 Sterzing,2
2014-04-25,720 Lamar Place,2
2014-04-25,AECOM,2
2014-04-25,AXF Development,1
2014-04-25,Anthony George,2
2014-04-25,Antolin Aguirre,2
2014-04-25,Atlantic Housing Foundation,2
2014-04-25,Austin Board of Realtors,5
2014-04-25,Austin Elm Terrace LP,2
2014-04-25,Austin Renaissance,2
2014-04-25,Berns Commercial Properties,2
2014-04-25,Bill and Kathy Darling,2
2014-04-25,Bouldin Creek Neighborhood Association,2
2014-04-25,Bounce Marketing and Events,1
2014-04-25,Brazos Masonry,2
2014-04-25,Brigid Cockrum,2
2014-04-25,Bunkhouse Management,2
2014-04-25,Carollo Engineers,2
2014-04-25,Cary and Cynthia Reynolds,2
2014-04-25,Central Health,3
2014-04-25,Charmeleon Group,2
2014-04-25,Chereen Fisher,2
2014-04-25,Circuit of the Americas,6
2014-04-25,Colony Park Neighborhood Association,2
2014-04-25,Continental Cars,2
2014-04-25,Davenport Ranch Neighborhood Assoc.,2
2014-04-25,David McMahan,2
2014-04-25,Eanes Community Alliance,2
2014-04-25,Edward Lopez,1
2014-04-25,Eureka Holdings,3
2014-04-25,Fineline Diversified Developement,2
2014-04-25,Flemtex Properties,2
2014-04-25,Forestar Real Estate Group,6
2014-04-25,Freedom Carwash,2
2014-04-25,Gemini Solar Development,2
2014-04-25,Greater Austin Transportation Co. (Yellow Cab),2
2014-04-25,Greystone Multifamily Builders,2
2014-04-25,Greystone Steiner Associates,2
2014-04-25,Grubb and Ellis Realty Investors,2
2014-04-25,Heritage Neighborgood Association,2
2014-04-25,"Highland Park West, Limited",2
2014-04-25,HomeAway,2
2014-04-25,"Howard and Howard Attorneys, PLLC",2
2014-04-25,Hudgins Apartment Development,2
2014-04-25,Husch Blackwell,1
2014-04-25,Insurance Auto Auctions,2
2014-04-25,JLB Realty,2
2014-04-25,James Jard,2
2014-04-25,Jeremiah Venture,2
2014-04-25,Jerry Bell,2
2014-04-25,"Joseph Liemandt, Andra Liemandt",2
2014-04-25,Kailey Development Partners,2
2014-04-25,Kevin Tarr,2
2014-04-25,Koontz-McCombs,3
2014-04-25,LDG Norwood,2
2014-04-25,Lampros Moumouris,2
2014-04-25,Lippincott Capital,2
2014-04-25,Lyft,3
2014-04-25,MTG Management,2
2014-04-25,Marcus Whitfield,1
2014-04-25,McAdams Enterprises,1
2014-04-25,Mill Creek Residential Trust,2
2014-04-25,Navid Hoomanrad,1
2014-04-25,Oxford Alliance Investments,2
2014-04-25,Pacifica Host Hotels,2
2014-04-25,Paz Doty,1
2014-04-25,Peter Gilcrease,2
2014-04-25,Plaza Lofts,2
2014-04-25,Prevarian Hospital Partners,2
2014-04-25,Radec Management,2
2014-04-25,Reagan National Advertising,3
2014-04-25,Riverside Resources,6
2014-04-25,Robert Rock,1
2014-04-25,Saleem Tawill,2
2014-04-25,Sandstone Ventures,2
2014-04-25,Sohil Momin,2
2014-04-25,South River City Citizens Associations,1
2014-04-25,Stephen Melchiode,2
2014-04-25,Steve Greenberg,4
2014-04-25,Stuart Thomajan,2
2014-04-25,Synagro-WWT,1
2014-04-25,TX RR620 Apartments,2
2014-04-25,Taylor Woodrow Communities/Steiner Ranch,2
2014-04-25,Telvending,1
2014-04-25,Texas Capital Bank,2
2014-04-25,The Greystone Group,2
2014-04-25,The NRP Group,5
2014-04-25,The Park at Travis Country COA,2
2014-04-25,Travis Hotel Group,1
2014-04-25,Trilogy Enterprises,2
2014-04-25,V and S Enterprises,2
2014-04-25,Versa Development,2
2014-04-25,Walter B. Eads,2
2014-04-25,Zilker Park Residences Partners,2
2014-04-29,2208 Lake Austin,3
2014-04-29,ATC Outdoor DAS,2
2014-04-29,Austin Elm Terrace LP,4
2014-04-29,D. R. Horton,2
2014-04-29,Dobie Austin (Howard Michaels),2
2014-04-29,El Chile Restaurant Group (Carlos Rivero),2
2014-04-29,ExeNet Systems,2
2014-04-29,"GFD Holdings, LLC (Brandon Bolin)",2
2014-04-29,Schlosser Development (Rick Duggan III),2
2014-04-29,UniSite,1
2014-05-02,Coleman Law Office,2
2014-05-02,Danley Properties,1
2014-05-02,Green Zone Homes,2
2014-05-02,Mr. Tramps Bar and Tavern,2
2014-05-02,PSW Real Estate,2
2014-05-02,Patterson Properties,2
2014-05-02,SolarCity,2
2014-05-02,South Llano Strategies,2
2014-05-02,ZIR Investments,1
2014-05-04,Butler Family Partnership,4
2014-05-04,KEEP Real Estate,2
2014-05-04,Spire Realty,2
2014-05-04,Trinsic Residential Group,4
2014-05-08,Uber Technologies,4
2014-05-15,Uber Technologies,8
2014-06-01,Save Our Springs Alliance,2
2014-06-04,Workers Defense Action Fund,3
2014-06-04,Workers Defense Project,5
2014-06-09,AT&T,22
2014-06-09,Beneplace,1
2014-06-09,CPS Human Resource Services,1
2014-06-09,Cisco Systems,2
2014-06-09,HDI Solutions,2
2014-06-09,Halff Associates,2
2014-06-09,Hoar Construction,1
2014-06-09,NEC Corportation of America,1
2014-06-09,Northrop Grumman,2
2014-06-09,Oracle America,2
2014-06-09,Pitney Bowes,2
2014-06-09,RFD and Associates,1
2014-06-09,United Road Towing dba UR Vehicle Management Solutions,2
2014-06-09,Xerox,1
2014-06-25,Ascencion Health,3
2014-06-25,Central Health,4
2014-06-25,Lone Star Rail,1
2014-06-25,Strategic Partnerships,3
2014-06-27,2208 Lake Austin,4
2014-06-27,408 Sterzing,3
2014-06-27,720 Lamar Place,3
2014-06-27,AECOM,3
2014-06-27,Anthony George,3
2014-06-27,Antolin Aguirre,3
2014-06-27,Atlantic Housing Foundation,3
2014-06-27,Austin Board of Realtors,6
2014-06-27,Berns Commercial Properties,3
2014-06-27,Bouldin Creek Neighborhood Association,3
2014-06-27,Brazos Masonry,3
2014-06-27,Bunkhouse Management,3
2014-06-27,Carollo Engineers,3
2014-06-27,Cary and Cynthia Reynolds,3
2014-06-27,Charmeleon Group,3
2014-06-27,Chereen Fisher,3
2014-06-27,Circuit of the Americas,7
2014-06-27,Colony Park Neighborhood Association,3
2014-06-27,Continental Cars,3
2014-06-27,Davenport Ranch Neighborhood Assoc.,3
2014-06-27,David McMahan,3
2014-06-27,Eanes Community Alliance,3
2014-06-27,Eureka Holdings,4
2014-06-27,Fineline Diversified Developement,3
2014-06-27,Flemtex Properties,3
2014-06-27,Forestar Real Estate Group,7
2014-06-27,Freedom Carwash,3
2014-06-27,Gemini Solar Development,3
2014-06-27,Greystone Multifamily Builders,3
2014-06-27,Greystone Steiner Associates,3
2014-06-27,Grubb and Ellis Realty Investors,3
2014-06-27,Heritage Neighborgood Association,3
2014-06-27,"Highland Park West, Limited",3
2014-06-27,HomeAway,3
2014-06-27,"Howard and Howard Attorneys, PLLC",3
2014-06-27,Insurance Auto Auctions,3
2014-06-27,JLB Realty,3
2014-06-27,James Jard,3
2014-06-27,Jeremiah Venture,3
2014-06-27,Jerry Bell,3
2014-06-27,"Joseph Liemandt, Andra Liemandt",3
2014-06-27,Kailey Development Partners,3
2014-06-27,Kevin Tarr,3
2014-06-27,LDG Norwood,3
2014-06-27,Lampros Moumouris,3
2014-06-27,Lippincott Capital,3
2014-06-27,Lost Creek Neighborhood Assoc,1
2014-06-27,MTG Management,3
2014-06-27,McAdams Enterprises,2
2014-06-27,Mill Creek Residential Trust,3
2014-06-27,Navid Hoomanrad,2
2014-06-27,Oxford Alliance Investments,3
2014-06-27,Pacifica Host Hotels,3
2014-06-27,Paz Dhody,1
2014-06-27,Peter Gilcrease,3
2014-06-27,Prevarian Hospital Partners,3
2014-06-27,Radec Management,3
2014-06-27,Reagan National Advertising,4
2014-06-27,Riverside Resources,7
2014-06-27,Sandstone Ventures,3
2014-06-27,Sohil Momin,3
2014-06-27,Stephen Melchiode,3
2014-06-27,Steve Greenberg,5
2014-06-27,Stuart Thomajan,3
2014-06-27,Taylor Woodrow Communities/Steiner Ranch,3
2014-06-27,Telvending,2
2014-06-27,Texas Capital Bank,3
2014-06-27,The Greystone Group,3
2014-06-27,The NRP Group,6
2014-06-27,The Park at Travis Country COA,3
2014-06-27,Travis Hotel Group,2
2014-06-27,Trilogy Enterprises,3
2014-06-27,V and S Enterprises,3
2014-06-27,Versa Development,3
2014-06-27,Walter B. Eads,3
2014-06-27,Zilker Park Residences Partners,3
2014-07-01,Fremont Holdings,2
2014-07-01,Greater Mt. Zion Baptist Church,2
2014-07-01,Sackmann Enterprises,6
2014-07-01,Wal-Mart,4
2014-07-09,16 Piggybank,2
2014-07-09,2208 Lake Austin,5
2014-07-09,Alexa Management,1
2014-07-09,Artesia Real Estate,1
2014-07-09,Aspen Heights,3
2014-07-09,Austin Diagnostic Clinic,5
2014-07-09,Butler Family Interests,2
2014-07-09,Catalyst Acquisitions and Development Grp,1
2014-07-09,Circle C Homeowners Association,2
2014-07-09,Cousins Properties,3
2014-07-09,ECC Commercial,1
2014-07-09,Grayco Partners,3
2014-07-09,Honokea Surf Parks,1
2014-07-09,JLM Financial Investments,1
2014-07-09,KEEP Real Estate,3
2014-07-09,"Radtke, Lorin",1
2014-07-09,Republic Services of Austin,2
2014-07-09,Senior Quality Lifestyles,1
2014-07-09,Spire Realty,4
2014-07-09,Stoltz Management,1
2014-07-09,Transwestern Commercial,4
2014-07-09,Trinsic Residential Group,4
2014-07-09,Walters Southwest,3
2014-07-18,A and M Option 541,2
2014-07-18,Austin Apartment Association,5
2014-07-18,"Coats, Rose, Yale, Ryman and Lee",2
2014-07-18,KB Home Lone Star,3
2014-07-18,KJC Auto Title Loan Corp.,1
2014-07-18,RKS Texas Investments,3
2014-07-23,PSW Real Estate,5
2014-08-01,620/183,1
2014-08-01,AJHSCCM,1
2014-08-01,AVG Partners,1
2014-08-01,Art at Bratton's Edge,1
2014-08-01,Austin Board of Realtors,11
2014-08-01,Canchola and Hyde Productions,1
2014-08-01,Castle Hill Management,1
2014-08-01,Century Land Holdings II,1
2014-08-01,Cirrus Logic,5
2014-08-01,Community Sun,1
2014-08-01,Cummings-Baccus,1
2014-08-01,Dessau Howard,1
2014-08-01,Endeavor Real Estate Group,5
2014-08-01,Essex and Delancey,1
2014-08-01,HTK Development,1
2014-08-01,JP Morgan Chase Bank,1
2014-08-01,Johnson Four Corners,1
2014-08-01,LTBS 2222,1
2014-08-01,La V Restaurant,1
2014-08-01,Makar Development - Waters Edge,1
2014-08-01,Michael J. McGinnis,1
2014-08-01,Neans Investments,1
2014-08-01,Pearson Place at Avery Ranch,1
2014-08-01,Pulte Homes of Texas,1
2014-08-01,Richard Hardin,1
2014-08-01,Sheffield Partners,1
2014-08-01,Simmons Vedder Partners,3
2014-08-01,Suzanne Snyder,1
2014-08-01,Texas Star Brands,1
2014-08-01,The City School,1
2014-08-01,The Stratford Company,1
2014-08-01,Thomas Southwest,1
2014-08-01,Toria and Blake English,1
2014-08-01,Velocity Park I,1
2014-08-01,Vinson Radke Investments,1
2014-08-01,Waterloo Development,1
2014-08-01,ZFB,1
2014-08-05,Lone Star Rail,4
2014-08-20,1000 E. 6th,3
2014-08-20,A.J. Messer Construction Co.,3
2014-08-20,ARC Matthew McMahon,3
2014-08-20,AT&T,15
2014-08-20,Affinity Homes Bob Rue,3
2014-08-20,Aqua Builders Ebbn Milks,3
2014-08-20,Ashley Amini,3
2014-08-20,Aupperle Co.,3
2014-08-20,Austin Housing Authority,3
2014-08-20,Bailey Elliott Construction Co.,3
2014-08-20,"Barlin, Peter",2
2014-08-20,Boat Town Clayton Raven,3
2014-08-20,Brian Bailey Homes,3
2014-08-20,Bryan Hardeman,3
2014-08-20,Car Tex Engineers Gary Jones,3
2014-08-20,Dana Copp Builder,3
2014-08-20,David Davidson,3
2014-08-20,David Morrison,1
2014-08-20,David Wilkes Bldrs,3
2014-08-20,Dr. Pejman Khosravian,1
2014-08-20,Dupont Group Rick Dupont,3
2014-08-20,East Side Tree House Erik Olson,3
2014-08-20,Ford Smith Jr.,3
2014-08-20,Freytag Florist,3
2014-08-20,Journeyman Construction,3
2014-08-20,Karen Browning,3
2014-08-20,Kenneth Gorence,3
2014-08-20,"Khosravian, Dr. Pejman",2
2014-08-20,Lewis Sign Builders,3
2014-08-20,Live Nations Eddie Hudson,3
2014-08-20,MS General Contractors,3
2014-08-20,Maderone Ventures,3
2014-08-20,"Mikhail, Sam",2
2014-08-20,Miller Uniform,3
2014-08-20,Montana Builders,3
2014-08-20,"Morrison, David",2
2014-08-20,Peter Barlin,1
2014-08-20,SNAP Set,3
2014-08-20,Sam Kumar 9th and Red River,3
2014-08-20,Sam Mikhail,1
2014-08-20,Shirley Vega,3
2014-08-20,Streamline Commercial Contractors,3
2014-08-20,Tabernacle Apostolic Church,3
2014-08-20,Televending,3
2014-08-20,Terry Laney,3
2014-08-20,Texas Construction,3
2014-08-20,Turnkey Cap. Group,3
2014-08-20,WEHBE Properties,3
2014-08-20,WLP Architect Bill Perkins,3
2014-08-20,Will Bridges,3
2014-08-29,Artesia Real Estate,2
2014-08-29,Cousins Properties,4
2014-08-29,Grayco Partners,4
2014-08-29,Honokea Surf Parks,2
2014-08-29,JLM Financial Investments,2
2014-08-29,Manchester Financial Group,3
2014-08-29,Republic Services of Austin,3
2014-08-29,Senior Quality Lifestyles,2
2014-08-29,Spire Realty,5
2014-08-29,Stratus Properties,5
2014-08-29,Transwestern Commercial,5
2014-08-29,Walters Southwest,4
2014-09-02,HNTB,2
2014-09-04,A and M Option 541,3
2014-09-04,Austin Apartment Association,6
2014-09-04,Brady Ohman,2
2014-09-04,Braker Valley,2
2014-09-04,Buffalo Equities,2
2014-09-04,"Coats, Rose, Yale, Ryman and Lee",3
2014-09-04,GHI Partners,2
2014-09-04,Kam Kronenberg,2
2014-09-04,Kenneth Marx,1
2014-09-04,RKS Texas Investments,3
2014-09-04,Red Bluff Partners,1
2014-09-04,The Brohn Group,5
2014-09-25,American Heart Association,3
2014-09-25,The First Tee Greater Austin,3
2014-10-02,American Heart Association,6
2014-10-02,Behringer Harvard,2
2014-10-02,County Line,1
2014-10-02,First Hartford Realty,2
2014-10-02,Life Austin,2
2014-10-02,Lyda Family Trust,2
2014-10-02,Neal Richards Group,3
2014-10-02,Regents School of Austin,2
2014-10-02,Springdale Farms,2
2014-10-02,Standard Pacific of Texas,1
2014-10-02,Stratford Land,2
2014-10-02,Street Lights Residential,2
2014-10-02,Sutton Company,2
2014-10-02,Taurus of Texas GP,2
2014-10-02,The Dinerstein Companies,2
2014-10-02,The First Tee Greater Austin,6
2014-10-02,The Hanover Company,2
2014-10-08,American Heart Association,7
2014-10-09,405 Colorado Holdings,1
2014-10-09,6ixth Street Austin,3
2014-10-09,93 Red River Investors,1
2014-10-09,A Stella Dog,1
2014-10-09,AETNA Sign Group,1
2014-10-09,AMS Commercial Real Estate,1
2014-10-09,American Campus Communities,3
2014-10-09,Amplify Federal Credit Union,3
2014-10-09,Austin City Builders,1
2014-10-09,Austin Fairchild Management,4
2014-10-09,Caledonia Properties,2
2014-10-09,Capital Metro,1
2014-10-09,Coppell Building,1
2014-10-09,Duckworth Property Holdings,1
2014-10-09,Embree Asset Group,1
2014-10-09,Emmis Radio Broadcasting Co.,1
2014-10-09,Endeavor Real Estate Group,6
2014-10-09,Equinox,1
2014-10-09,"Gates, Terrell",1
2014-10-09,Home Slice Pizza,1
2014-10-09,KDR Equities,1
2014-10-09,MBC Engineers,3
2014-10-09,Mariposa Montessori,1
2014-10-09,Megabus Southwest,1
2014-10-09,Osten Hall,1
2014-10-09,Pecan Street Association,1
2014-10-09,Pegalo Properties,1
2014-10-09,RJMadden,2
2014-10-09,Street Lights Residential,4
2014-10-09,Wells Fargo,2
2014-10-09,Western Rim Investment Advisors,2
2014-10-14,American Heart Association,8
2014-10-15,AT&T,15
2014-10-15,Balcones Resources,4
2014-10-15,Butler Park Pitch and Putt,3
2014-10-15,Hopper Communities,4
2014-10-15,Ledcor Properties Company,4
2014-10-15,Lincoln Property Company,4
2014-10-15,Mark Cathcart,3
2014-10-15,Oden Hughes,4
2014-10-15,Perry Estates,5
2014-10-15,Peyton Riley No. 3,3
2014-10-15,Sackmann Enterprises,6
2014-10-15,Techridge Spectrum B.C.,4
2014-10-15,Texas Research International,4
2014-10-16,3 Point Partners,2
2014-10-16,AMD,2
2014-10-16,AT&T,17
2014-10-16,Apex Bethel Energy Center,2
2014-10-16,Armbrust and Brown,2
2014-10-16,Balcones Resources,6
2014-10-16,Bury,2
2014-10-16,CCARE,2
2014-10-16,"Cedar Park, TX",2
2014-10-16,Circuit of the Americas,8
2014-10-16,Cirrus Logic,6
2014-10-16,Endeavor Real Estate Group,8
2014-10-16,Freescale,2
2014-10-16,HDR,4
2014-10-16,MWH Constructors,2
2014-10-16,McShane Development,2
2014-10-16,Neal Richards Group,4
2014-10-16,North Austin MUD No. 1,5
2014-10-16,Northtown MUD,2
2014-10-16,Samsung,2
2014-10-16,Southside Wrecker,2
2014-10-16,Spansion,2
2014-10-16,Wal-Mart,5
2014-10-16,Walter A. DeRoeck,2
2014-10-16,Water Control Irrigation District # 10,2
2014-10-16,Wells Branch MUD,2
2014-10-16,West Austin Youth Association,1
2014-10-16,White Lodging Services,5
2014-10-21,Brian Follett,3
2014-10-21,Briley's Upholstery Austin,3
2014-10-21,"Catanoia, Ginny",2
2014-10-21,Enoteca Restaurant,3
2014-10-21,Ginny Catanoia,1
2014-10-21,Little City Properties,3
2014-12-11,Real Estate Council of Austin,14
2014-12-17,Texas Aggregates and Concrete Association,3
2014-12-21,16 Piggybank,3
2014-12-21,Alexa Management,2
2014-12-21,Asian American Cultural Arts Center,1
2014-12-21,Aspen Heights,4
2014-12-21,"Banta, Mark",1
2014-12-21,Behringer Harvard,3
2014-12-21,Butler Family Interests,3
2014-12-21,Diversified Real Estate Group,1
2014-12-21,Eureka Holdings,5
2014-12-21,Inland American Communites,1
2014-12-21,Junior League of Austin,1
2014-12-21,KEEP Real Estate,4
2014-12-21,Legend Communities,1
2014-12-21,Manchester Financial Group,4
2014-12-21,Oden Hughes,5
2014-12-21,Songhai Ventures,2
2014-12-21,Spire Realty,6
2014-12-21,Transwestern Commercial,6
2014-12-21,Walters Southwest,5
2014-12-23,183 BLW,5
2014-12-23,4800 Friedrich Lane,4
2014-12-23,Accelerator Holdings,4
2014-12-23,Amstar Group,8
2014-12-23,Aspen Heights,5
2014-12-23,Aspen Properties,3
2014-12-23,Austin Achieve,5
2014-12-23,Austin Baptist Church,4
2014-12-23,Austin Board of Realtors,12
2014-12-23,Austin Park,1
2014-12-23,Austin Quality Schools Collaborative,5
2014-12-23,Austin Restaurant Association,4
2014-12-23,AutoReturn,4
2014-12-23,AvalonPark Texas,4
2014-12-23,Blenheim,4
2014-12-23,Bob Gregory,3
2014-12-23,Brock Consulting Group,4
2014-12-23,CP II Wild Basin,2
2014-12-23,CRV Shoreline,4
2014-12-23,CST Brands,4
2014-12-23,CWS Capital Partners,4
2014-12-23,Capital Commercial Investments,4
2014-12-23,Capitol City Partners,2
2014-12-23,Capridge Partners,4
2014-12-23,Carma Texas,4
2014-12-23,Charles Dorrance,4
2014-12-23,Chris Pacitti,1
2014-12-23,Christopher Slover,4
2014-12-23,Circuit of the Americas,9
2014-12-23,Cirrus Logic,7
